SITE_ID,atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
NYU,aal,node_based,degree,original,LGBM,0.5785714285714286,0.3142857142857143
NYU,aal,node_based,degree,original,SVM,0.48571428571428565,0.5714285714285714
NYU,aal,node_based,degree,original,MLP,0.5499999999999999,0.5142857142857142
NYU,aal,node_based,degree,mi_10,LR,0.5571428571428572,0.5428571428571428
NYU,aal,node_based,degree,mi_10,DT,0.5642857142857143,0.6285714285714286
NYU,aal,node_based,degree,mi_10,RF,0.5857142857142856,0.45714285714285713
NYU,aal,node_based,degree,mi_10,XGB,0.55,0.4
NYU,aal,node_based,degree,mi_10,LGBM,0.5571428571428572,0.45714285714285713
NYU,aal,node_based,degree,mi_10,SVM,0.5642857142857143,0.4857142857142857
NYU,aal,node_based,degree,mi_10,MLP,0.4928571428571429,0.4
NYU,aal,node_based,degree,pca_10,LR,0.5,0.4857142857142857
NYU,aal,node_based,degree,pca_10,DT,0.6,0.4
NYU,aal,node_based,degree,pca_10,RF,0.5571428571428572,0.5714285714285714
NYU,aal,node_based,degree,pca_10,XGB,0.5642857142857143,0.5714285714285714
NYU,aal,node_based,degree,pca_10,LGBM,0.5857142857142856,0.5142857142857142
NYU,aal,node_based,degree,pca_10,SVM,0.5285714285714285,0.5142857142857142
NYU,aal,node_based,degree,pca_10,MLP,0.5285714285714286,0.45714285714285713
NYU,aal,edge_based,average_degree,original,LR,0.5285714285714286,0.4857142857142857
NYU,aal,edge_based,average_degree,original,DT,0.4642857142857143,0.5142857142857142
NYU,aal,edge_based,average_degree,original,RF,0.48571428571428577,0.4857142857142857
NYU,aal,edge_based,average_degree,original,XGB,0.5285714285714286,0.42857142857142855
NYU,aal,edge_based,average_degree,original,LGBM,0.47857142857142854,0.5142857142857142
NYU,aal,edge_based,average_degree,original,SVM,0.5714285714285714,0.5428571428571428
NYU,aal,edge_based,average_degree,original,MLP,0.5285714285714286,0.5428571428571428
NYU,aal,edge_based,average_degree,mi_10,LR,0.5071428571428571,0.5142857142857142
NYU,aal,edge_based,average_degree,mi_10,DT,0.47857142857142854,0.45714285714285713
NYU,aal,edge_based,average_degree,mi_10,RF,0.4642857142857143,0.45714285714285713
NYU,aal,edge_based,average_degree,mi_10,XGB,0.42142857142857143,0.45714285714285713
NYU,aal,edge_based,average_degree,mi_10,LGBM,0.4642857142857143,0.6
NYU,aal,edge_based,average_degree,mi_10,SVM,0.5214285714285714,0.5428571428571428
NYU,aal,edge_based,average_degree,mi_10,MLP,0.45714285714285713,0.45714285714285713
NYU,aal,edge_based,average_degree,pca_10,LR,0.5571428571428572,0.6285714285714286
NYU,aal,edge_based,average_degree,pca_10,DT,0.5285714285714286,0.5714285714285714
NYU,aal,edge_based,average_degree,pca_10,RF,0.48571428571428565,0.5428571428571428
NYU,aal,edge_based,average_degree,pca_10,XGB,0.5071428571428571,0.6
NYU,aal,edge_based,average_degree,pca_10,LGBM,0.5071428571428571,0.5428571428571428
NYU,aal,edge_based,average_degree,pca_10,SVM,0.45,0.4857142857142857
NYU,aal,edge_based,average_degree,pca_10,MLP,0.5214285714285715,0.4
NYU,aal,graph_level,average_degree,original,LR,0.5,0.5714285714285714
NYU,aal,graph_level,average_degree,original,DT,0.5428571428571429,0.5714285714285714
NYU,aal,graph_level,average_degree,original,RF,0.5642857142857143,0.6285714285714286
NYU,aal,graph_level,average_degree,original,XGB,0.5428571428571429,0.7142857142857143
NYU,aal,graph_level,average_degree,original,LGBM,0.47857142857142854,0.6571428571428571
NYU,aal,graph_level,average_degree,original,SVM,0.55,0.6
NYU,aal,graph_level,average_degree,original,MLP,0.4642857142857143,0.6571428571428571
NYU,aal,graph_level,average_degree,mi_10,LR,0.5642857142857143,0.4857142857142857
NYU,aal,graph_level,average_degree,mi_10,DT,0.5571428571428572,0.5142857142857142
NYU,aal,graph_level,average_degree,mi_10,RF,0.5428571428571428,0.5428571428571428
NYU,aal,graph_level,average_degree,mi_10,XGB,0.5571428571428572,0.45714285714285713
NYU,aal,graph_level,average_degree,mi_10,LGBM,0.5571428571428572,0.5714285714285714
NYU,aal,graph_level,average_degree,mi_10,SVM,0.5357142857142857,0.6
NYU,aal,graph_level,average_degree,mi_10,MLP,0.5642857142857143,0.5428571428571428
NYU,aal,graph_level,average_degree,pca_10,LR,0.4999999999999999,0.5142857142857142
NYU,aal,graph_level,average_degree,pca_10,DT,0.47857142857142854,0.4857142857142857
NYU,aal,graph_level,average_degree,pca_10,RF,0.5285714285714286,0.6285714285714286
