atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
aal,graph_level,average_degree,original,RF,1.0,0.4444444444444444
aal,graph_level,average_degree,original,XGB,1.0,0.45893719806763283
aal,graph_level,average_degree,original,LGBM,0.998792270531401,0.4492753623188406
aal,graph_level,average_degree,original,SVM,0.5555555555555556,0.5072463768115942
aal,graph_level,average_degree,original,MLP,0.7814009661835749,0.4782608695652174
aal,node_based,degree,mi_10,LR,0.5869565217391305,0.5652173913043478
aal,node_based,degree,mi_10,DT,1.0,0.5845410628019324
aal,node_based,degree,mi_10,RF,1.0,0.6038647342995169
aal,node_based,degree,mi_10,XGB,1.0,0.5893719806763285
aal,node_based,degree,mi_10,LGBM,1.0,0.6280193236714976
aal,node_based,degree,mi_10,SVM,0.6219806763285024,0.6038647342995169
aal,node_based,degree,mi_10,MLP,0.7415458937198067,0.5942028985507246
aal,edge_based,average_degree,mi_10,LR,0.5120772946859904,0.5603864734299517
aal,edge_based,average_degree,mi_10,DT,0.5241545893719807,0.5217391304347826
aal,edge_based,average_degree,mi_10,RF,0.5241545893719807,0.5265700483091788
aal,edge_based,average_degree,mi_10,XGB,0.5229468599033816,0.5217391304347826
aal,edge_based,average_degree,mi_10,LGBM,0.5132850241545893,0.5314009661835749
aal,edge_based,average_degree,mi_10,SVM,0.5229468599033816,0.5265700483091788
aal,edge_based,average_degree,mi_10,MLP,0.5108695652173914,0.5603864734299517
aal,graph_level,average_degree,mi_10,LR,0.532608695652174,0.45410628019323673
aal,graph_level,average_degree,mi_10,DT,0.7415458937198067,0.4444444444444444
aal,graph_level,average_degree,mi_10,RF,0.7415458937198067,0.42028985507246375
aal,graph_level,average_degree,mi_10,XGB,0.7004830917874396,0.41545893719806765
aal,graph_level,average_degree,mi_10,LGBM,0.644927536231884,0.45410628019323673
aal,graph_level,average_degree,mi_10,SVM,0.5410628019323671,0.48792270531400966
aal,graph_level,average_degree,mi_10,MLP,0.533816425120773,0.45410628019323673
aal,node_based,degree,pca_10,LR,0.5748792270531401,0.5169082125603864
aal,node_based,degree,pca_10,DT,1.0,0.5024154589371981
aal,node_based,degree,pca_10,RF,1.0,0.5265700483091788
aal,node_based,degree,pca_10,XGB,1.0,0.5217391304347826
aal,node_based,degree,pca_10,LGBM,1.0,0.5265700483091788
aal,node_based,degree,pca_10,SVM,0.6171497584541062,0.5507246376811594
aal,node_based,degree,pca_10,MLP,0.7620772946859904,0.5458937198067633
aal,edge_based,average_degree,pca_10,LR,0.5120772946859904,0.4782608695652174
aal,edge_based,average_degree,pca_10,DT,0.9951690821256038,0.5024154589371981
aal,edge_based,average_degree,pca_10,RF,0.9951690821256038,0.5024154589371981
aal,edge_based,average_degree,pca_10,XGB,0.9842995169082126,0.5652173913043478
aal,edge_based,average_degree,pca_10,LGBM,0.9698067632850241,0.5362318840579711
aal,edge_based,average_degree,pca_10,SVM,0.5652173913043478,0.5265700483091788
aal,edge_based,average_degree,pca_10,MLP,0.6147342995169082,0.5265700483091788
aal,graph_level,average_degree,pca_10,LR,0.538647342995169,0.47342995169082125
aal,graph_level,average_degree,pca_10,DT,1.0,0.4927536231884058
aal,graph_level,average_degree,pca_10,RF,1.0,0.5072463768115942
aal,graph_level,average_degree,pca_10,XGB,1.0,0.5024154589371981
aal,graph_level,average_degree,pca_10,LGBM,0.998792270531401,0.5410628019323671
aal,graph_level,average_degree,pca_10,SVM,0.5483091787439613,0.5120772946859904
aal,graph_level,average_degree,pca_10,MLP,0.6292270531400966,0.45893719806763283
cc200,node_based,degree,original,LR,0.785024154589372,0.6231884057971014
cc200,node_based,degree,original,DT,1.0,0.5748792270531401
cc200,node_based,degree,original,RF,1.0,0.6473429951690821
cc200,node_based,degree,original,XGB,1.0,0.6086956521739131
cc200,node_based,degree,original,LGBM,1.0,0.6570048309178744
cc200,node_based,degree,original,SVM,0.8055555555555556,0.642512077294686
cc200,node_based,degree,original,MLP,1.0,0.6473429951690821
cc200,edge_based,average_degree,original,LR,0.6038647342995169,0.4830917874396135
cc200,edge_based,average_degree,original,DT,0.9963768115942029,0.4782608695652174
cc200,edge_based,average_degree,original,RF,0.9963768115942029,0.4782608695652174
cc200,edge_based,average_degree,original,XGB,0.9094202898550725,0.4782608695652174
cc200,edge_based,average_degree,original,LGBM,0.9009661835748792,0.463768115942029
cc200,edge_based,average_degree,original,SVM,0.5434782608695652,0.5169082125603864
cc200,edge_based,average_degree,original,MLP,0.6292270531400966,0.4830917874396135
cc200,graph_level,average_degree,original,LR,0.6014492753623188,0.5555555555555556
cc200,graph_level,average_degree,original,DT,1.0,0.4830917874396135
cc200,graph_level,average_degree,original,RF,1.0,0.5024154589371981
cc200,graph_level,average_degree,original,XGB,1.0,0.5410628019323671
