Region_ID,Region_Name,SHAP_Importance,RF_Importance,Mean_Connectivity_ASD,Mean_Connectivity_TDC,Connectivity_Difference
103,Region_104,0.009500843596919124,0.010059592430925662,13.9679012345679,14.927710843373495,-0.9598096088055943
108,Region_109,0.008843145024259272,0.009674754222208379,16.07901234567901,18.004819277108435,-1.925806931429424
90,Region_091,0.00866417788359609,0.008648809316153062,16.113580246913582,18.496385542168674,-2.3828052952550927
138,Region_139,0.007929126785103116,0.009155980068584963,15.553086419753086,18.057831325301205,-2.504744905548119
196,Region_197,0.007885626229884058,0.008597846680532775,9.204938271604938,7.532530120481928,1.67240815112301
173,Region_174,0.0074310958597668085,0.009054405870720445,16.382716049382715,19.03132530120482,-2.648609251822105
62,Region_063,0.006971459336528191,0.007361638115719304,6.395061728395062,5.392771084337349,1.0022906440577124
50,Region_051,0.0068686478584202805,0.007795337692043892,12.108641975308641,14.657831325301204,-2.549189349992563
7,Region_008,0.006145403392227628,0.0074393017668904155,7.995061728395061,9.486746987951808,-1.4916852595567462
162,Region_163,0.005766949498390317,0.008996234063581606,10.728395061728396,8.75421686746988,1.9741781942585153
197,Region_198,0.0053791589025093765,0.006770363038357979,7.37283950617284,5.583132530120482,1.7897069760523578
4,Region_005,0.005291119284266316,0.009054943935055695,11.74074074074074,13.648192771084338,-1.9074520303435971
166,Region_167,0.005290763293066068,0.007324384641158877,9.814814814814815,8.250602409638555,1.56421240517626
57,Region_058,0.00505082947412713,0.0070773310764859565,10.790123456790123,13.397590361445783,-2.6074669046556593
95,Region_096,0.004872763907430745,0.007288156413902713,8.493827160493828,10.727710843373494,-2.233883682879666
153,Region_154,0.004872163010325569,0.006221111940789636,7.7481481481481485,8.845783132530121,-1.0976349843819726
70,Region_071,0.00481024084323711,0.006547526528297526,4.958024691358025,4.6650602409638555,0.2929644503941695
25,Region_026,0.00479231968068187,0.007913412851859977,10.718518518518518,12.190361445783132,-1.471842927264614
43,Region_044,0.004689631467491777,0.006259705339684727,11.962962962962964,10.2,1.7629629629629644
80,Region_081,0.00459118178352801,0.006927221347670712,10.824691358024692,9.204819277108435,1.6198720809162577
21,Region_022,0.00455790341592371,0.00823566104660308,12.098765432098766,13.944578313253013,-1.845812881154247
75,Region_076,0.004338594045720442,0.006694895025330328,8.693827160493827,6.874698795180723,1.8191283653131043
20,Region_021,0.004086744663717913,0.006435974982508921,6.802469135802469,8.433734939759036,-1.631265803956567
182,Region_183,0.004045046016208289,0.00665927157184606,9.550617283950617,8.120481927710843,1.4301353562397736
112,Region_113,0.0039193654617353324,0.006463669820855678,10.748148148148148,8.404819277108434,2.3433288710397147
146,Region_147,0.0039042673562918557,0.006194101563950477,9.170370370370371,7.927710843373494,1.242659526996877
190,Region_191,0.0038752451646660354,0.006474700548134639,11.167901234567902,12.457831325301205,-1.2899300907333036
177,Region_178,0.0038019127116608823,0.004753101980141699,7.148148148148148,6.472289156626506,0.6758589915216415
192,Region_193,0.0036897694710560165,0.005934381497127243,12.355555555555556,13.609638554216868,-1.2540829986613122
172,Region_173,0.0035465134389937717,0.006645903974099509,12.602469135802469,11.171084337349397,1.431384798453072
181,Region_182,0.0035404603670117505,0.00507066962222972,8.40246913580247,7.869879518072289,0.5325896177301805
31,Region_032,0.003143329102836844,0.006205086826519725,13.046913580246914,10.12289156626506,2.924022013981853
77,Region_078,0.003115989911984073,0.005566912709580034,9.903703703703703,9.096385542168674,0.8073181615350293
110,Region_111,0.0030799634588494678,0.006409358841265556,7.68641975308642,9.093975903614458,-1.4075561505280385
93,Region_094,0.0030778363105568077,0.005339538897957394,3.523456790123457,4.628915662650602,-1.1054588725271453
30,Region_031,0.003062820859525095,0.006147693193384644,11.955555555555556,12.334939759036144,-0.37938420348058877
17,Region_018,0.002884009772267242,0.0063182075855736045,4.817283950617284,6.1493975903614455,-1.3321136397441613
74,Region_075,0.0028486026441158774,0.005771262619337945,9.523456790123456,8.681927710843373,0.8415290792800825
107,Region_108,0.002845914459388399,0.005441279125178017,12.296296296296296,10.951807228915662,1.3444890673806338
148,Region_149,0.0028382854054956556,0.005939477787065622,14.28888888888889,13.602409638554217,0.6864792503346724
91,Region_092,0.002791734924449187,0.004605298651338876,7.982716049382716,7.260240963855422,0.7224750855272939
5,Region_006,0.0027633901344211883,0.005502722889753394,9.617283950617283,7.906024096385543,1.7112598542317405
135,Region_136,0.0027477464086107864,0.00533862938537645,12.844444444444445,11.934939759036144,0.9095046854083009
169,Region_170,0.002740084574412947,0.0052485514448315325,13.207407407407407,12.640963855421687,0.5664435519857207
81,Region_082,0.0027379953491356358,0.005650837476467298,17.165432098765432,18.956626506024097,-1.791194407258665
118,Region_119,0.0027119708047163263,0.006096147476033126,18.20246913580247,19.412048192771085,-1.2095790569686145
158,Region_159,0.002706343607530658,0.006428313193889346,10.217283950617285,11.267469879518073,-1.0501859289007882
32,Region_033,0.0026568161332080776,0.004567308549133355,11.982716049382717,12.92289156626506,-0.9401755168823431
9,Region_010,0.0026130278404532313,0.005010952000764003,5.604938271604938,5.443373493975904,0.16156477762903432
44,Region_045,0.002573899992314459,0.005416332523302244,5.506172839506172,6.281927710843373,-0.7757548713372007
27,Region_028,0.002538644428427643,0.005232981155597967,8.518518518518519,9.937349397590362,-1.4188308790718427
63,Region_064,0.002521345542230624,0.005538368016518654,11.496296296296297,10.228915662650602,1.2673806336456952
58,Region_059,0.002469708761622646,0.005800100409995058,13.609876543209877,15.079518072289156,-1.4696415290792793
